id,loan_amnt,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,purpose,title,zip_code,addr_state,dti,earliest_cr_line,fico_range_low,fico_range_high,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,application_type,mort_acc,pub_rec_bankruptcies,loan_status
38098114,15000,60 months,12.39,336.64,C,C1,MANAGEMENT,10+ years,RENT,78000,Source Verified,debt_consolidation,Debt consolidation,235xx,VA,12.03,Aug-94,750,754,6,0,138008,29,17,w,Individual,0,0,Fully Paid
36805548,10400,36 months,6.99,321.08,A,A3,Truck Driver Delivery Personel,8 years,MORTGAGE,58000,Not Verified,credit_card,Credit card refinancing,937xx,CA,14.92,Sep-89,710,714,17,0,6133,31.6,36,w,Individual,1,0,Charged Off
37842129,21425,60 months,15.59,516.36,D,D1,Programming Analysis Supervisor,6 years,RENT,63800,Source Verified,credit_card,Credit card refinancing,658xx,MO,18.49,3-Aug,685,689,10,0,16374,76.2,35,w,Individual,0,0,Fully Paid
37662224,7650,36 months,13.66,260.2,C,C3,Technical Specialist,< 1 year,RENT,50000,Source Verified,debt_consolidation,Debt consolidation,850xx,AZ,34.81,2-Aug,685,689,11,0,16822,91.9,20,f,Individual,0,0,Charged Off
37822187,9600,36 months,13.66,326.53,C,C3,Admin Specialist,10+ years,RENT,69000,Source Verified,debt_consolidation,Debt consolidation,077xx,NJ,25.81,Nov-92,680,684,12,0,16388,59.4,44,f,Individual,0,0,Fully Paid
37741884,2500,36 months,11.99,83.03,B,B5,Manufacturing Engineer,< 1 year,MORTGAGE,89000,Source Verified,home_improvement,Home improvement,554xx,MN,13.77,1-Oct,685,689,9,0,22908,94.3,32,f,Individual,5,0,Fully Paid
37854444,16000,60 months,11.44,351.4,B,B4,Foreign Service Officer,6 years,OWN,109777,Verified,debt_consolidation,Debt consolidation,201xx,VA,11.63,3-Nov,700,704,7,0,7253,60.4,14,w,Individual,2,0,Fully Paid
36804663,23325,36 months,14.31,800.71,C,C4,Teacher,10+ years,RENT,72000,Source Verified,credit_card,Credit card refinancing,982xx,WA,27.03,Oct-98,665,669,14,0,32372,82.2,23,f,Individual,6,0,Charged Off
37642222,5250,36 months,11.44,172.98,B,B4,Store Manager,2 years,RENT,26000,Not Verified,debt_consolidation,Debt consolidation,208xx,MD,14.36,9-May,745,749,8,0,4448,20.2,13,f,Individual,0,0,Fully Paid
37701596,10000,36 months,11.99,332.1,B,B5,Investment Consultant,8 years,RENT,90000,Verified,debt_consolidation,Debt consolidation,483xx,MI,8.44,3-Jul,675,679,5,0,23723,98,10,f,Joint App,0,0,Charged Off
